1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15,3.6,16.96666667,21.91,46.46666667,6.433333333,6.45,21.6541843,10.27692,5.822550978,56.4,13.87,87.84666667,-4.93421875,95.57256667
14.3,6.1,18.35,21.73,57.82,9.033333333,6.17,41.14601312,10.825477,5.560210833,57.2,13.79,89.55,-4.535079365,93.57663333
13.9,6.633333333,17.88,19.55,60.87333333,11.4,6.17,-35.95479162,9.681951,5.800401218,60.55,15.42,89.08666667,-3.635,90.34233333
11.5,8.033333333,17.57,15.5,46.02666667,11.8,5.78,-6.513948422,8.56078,6.340850836,60.3,14.07,93.04666667,-2.11295082,88.74713333
10.9,7.766666667,17.46,13.4,29.51666667,10.06666667,5.58,-0.535331906,8.45771,5.957519407,62.08,14.67,93.2,-2.06453125,87.25786667
9.5,5.266666667,15.88,14.72,19.22666667,6,5.49,25.67865004,9.202342,5.877752519,63.37,14.7,95.91666667,-2.12640625,89.70023333
7.1,2.533333333,15.88,21.07,14.71333333,0.4,2.4,425.9558824,10.357767,8.12704996,58,11.63,103.5733333,-0.989193548,98.2248
6.4,-0.6,21.59333333,29.54,17.53666667,-1.7,2.04,244.2573662,6.280567,10.65975382,51.52,8.88,106.6233333,-0.571967213,100.4117333
8.2,-1.533333333,26.69666667,38.11,22.64,-1.2,1.77,149.9372085,3.242198,8.802505792,53.9,9.12,102.0266667,-0.521111111,96.491
10.6,-1.266666667,28.75333333,38.11,25.49333333,1.5,1.66,24.82973341,3.483773,7.929694724,57.39,9.77,98.35333333,-0.44796875,93.36316667
11.9,0.666666667,28.94666667,33.09,27.53333333,6.433333333,1.58,-35.1600727,6.217063,8.16349184,60.48,10.81,96.30333333,-0.354677419,91.0619
12.2,2.2,24.66666667,24.15,26.86666667,12.83333333,1.4,-43.2139738,1.968535,8.099627139,62.31,11.29,99.14333333,-0.364590164,91.48773333
10.8,2.933333333,20.31333333,21.38,21.24333333,14.86666667,1.3,-27.61727021,3.014601,7.05644756,66.91,14.01,100.7566667,-0.37828125,92.4967
9.9,3.466666667,18.58666667,20.52,19.90333333,11.96666667,1.2,30.43647701,5.332223,7.260995805,67.61,13.95,100.11,-0.26890625,91.13933333
9.9,4.7,19.50666667,18.24,21.91333333,9.166666667,1.1,75.9810263,4.868039,7.461792662,68.44,13.19,99.98666667,-0.259193548,87.97836667
10.2,5.075666667,16.5,24.83,22.33,5.933333333,1.1,-13.29590895,0.095584,7.57771788,70.25,13.52,101.65,-0.272096774,86.73063333
10,5.738,15.43333333,22.61,18.52,4.3,1,-4.546806823,2.399701,7.467388614,71.92,14.45,99.85333333,-0.204126984,84.5636
9.4,6.223,13.73333333,19.09,15.24666667,4.1,0.9,-9.704212728,2.173691,7.030593356,72.81,15.85,102.05,-0.1334375,85.23423333
8.8,4.596666667,13.06666667,20.27,14.17666667,2.3,1,9.623866699,2.242774,6.94417631,72.07,15.75,106.7633333,-0.113934426,88.59316667
8.1,3.766666667,12.93333333,18.61,14.24,0.166666667,0.94,9.099778271,1.551419,7.692186485,74.24,16.87,108.6833333,-0.156451613,87.8339
7.7,2.866666667,13.2,18.89,13.08666667,-1.133333333,0.94,24.39873253,2.846039,7.111449856,74.92,18.15,108.7366667,-0.1865625,89.198
7.5,1.9,14.06666667,20.65,11.18666667,-1.2,0.95,23.52590828,3.530119,7.114907303,74.31,17.44,108.2566667,-0.181904762,89.05756667
8.1,2.066666667,13.93333333,20.59,11.39333333,-0.566666667,0.95,-17.18357083,2.160889,7.024591242,73.4,16.33,109.1766667,-0.172295082,87.8415
7.9,2.439966667,15.6,20.69,12.68666667,1.8,0.96,11.96650679,2.008744,7.377716296,73.95,16.43,112.9266667,-0.149833333,88.11683333
7.6,2.3842,15.3,19.44,11.29,5.233333333,0.96,-2.935526975,1.851252,7.322013242,77.55,17.12,115.5533333,-0.12796875,88.61383333
7.9,2.7642,14.46666667,20.28,10.75333333,7.466666667,0.97,17.83456552,1.333562,7.309593754,76.92,17.28,117.0566667,-0.1225,89.5738
7.7,2.9075,14.03333333,15.21,11.17,9.033333333,1,8.839406208,1.179179,7.571038262,78.39,17.71,117.34,-0.125322581,88.80073333
7.5,2.274,12.86666667,16.32,10.65,8.166666667,1.04,9.398823786,0.238287,8.33542576,78.16,17.5,119.5466667,-0.120491803,90.08753333
7.6,2.204933333,13.76666667,16.3,10.07666667,5.266666667,1.08,17.21230372,2.970928,8.250350931,78.91,17.93,114.09,-0.103015873,89.30906667
7.2,1.967866667,13.06666667,13.28,10.92333333,0.6,1.16,-11.57535804,2.916739,7.680273515,79.23,18.24,116.7366667,-0.109375,90.01223333
7.3,1.515333333,12.36666667,14.63,13.65,-3.466666667,1.25,30.08679479,2.593619,7.7576578,69.36,16.16,123.4066667,-0.152258065,93.78786667
7.1,1.190233333,11.63333333,14.5,17.15666667,-5.633333333,1.39,21.80852829,3.09153,9.545477158,70.5,31.61,128.9933333,-0.225409836,98.78193333
7.1,1.376933333,10.9,10.67,21.80666667,-5.9,1.5,6.044924026,2.775689,8.822309298,70,31.68,128.7066667,-0.2503125,99.37276667
7,1.732766667,13.23333333,10.678074,16.32333333,-3.2,1.59,71.7106278,2.403711,8.114216185,67,29.13,130.2633333,-0.3478125,102.7438667
6.9,1.451,13.5,12.363426,17.13,-0.433333333,1.67,-13.24882047,2.778156,7.620533205,65,27.64,129.9766667,-0.467258065,104.1211667
6.9,2.133797,13.56666667,13.748459,14.12666667,1.933333333,1.75,25.49649931,1.856406,9.552922334,62,26.43,129.7833333,-0.580983607,105.9466
6.8,2.082122333,12.13333333,8.235283,14.52666667,4.866666667,1.75,1.100612605,2.393732,8.240361007,62,27.06,124.9866667,-0.56625,103.3730667
6.8,1.675037333,11.03333333,6.724296,15.12333333,7.466666667,1.76,-21.17918314,2.64004,7.647231292,62,28.25,121.63,-0.559375,104.4841
6.9,2.141583333,11.43333333,6.312184,16.09333333,10.36666667,1.74,36.56540131,0.476253,6.71063959,61,28.93,122.1733333,-0.755737705,108.0422333
7,1.416351667,10.4,4.497608,16.68666667,10.23333333,1.74,-8.39230669,0.820708,7.200084226,64,30.45,122.2833333,-0.892580645,108.6094333
7,1.4,9.333333333,3.15,16.73333333,9.5,1.74,28.3762966,1.948905,6.885373259,64,32.97,119.2733333,-1.125714286,105.766
6.9,1.6,8.833333333,-1.09,17.83333333,7.866666667,1.74,21.01584166,1.45858,6.532775154,65,35.19,120.3666667,-1.243492063,102.1114667
6.8,1.8,8.7,-1.0195,18.21333333,5.533333333,1.74,-4.758839857,2.025173,6.204439606,64,35,122.0266667,-1.550322581,103.1442333
6.9,2.166666667,8.533333333,1.19,18.43666667,0.97178744,1.75,15.1492891,-1.269742,6.29583926,64,37.77,124.59,-1.942459016,100.4654
